strategy,trial,batch,fraction_removed,flow,reachable_pairs,avalanche
random,1,64,0.47664,2816,62300,0
random,1,65,0.481916,2745,61242,0
random,1,66,0.487107,2693,60021,2
random,1,67,0.492299,2656,58464,0
random,1,68,0.497404,2613,57602,1
random,1,69,0.50251,2564,56925,0
random,2,0,0,10647,237405,
random,2,1,0.0100417,10476,235010,0
random,2,2,0.0199983,10266,229905,0
random,2,3,0.0298698,10057,226152,0
random,2,4,0.0395711,9735,220160,0
random,2,5,0.0491873,9492,214587,0
random,2,6,0.0587184,9346,209664,0
random,2,7,0.0681644,9194,207700,0
random,2,8,0.0775253,8966,202664,0
random,2,9,0.0868011,8855,199374,0
random,2,10,0.0959918,8748,195600,0
random,2,11,0.105097,8645,194350,0
random,2,12,0.114118,8435,190995,0
random,2,13,0.123053,8278,187840,0
random,2,14,0.131904,8178,185920,0
random,2,15,0.140669,7960,182850,0
random,2,16,0.149264,7791,181068,0
random,2,17,0.157774,7616,179608,0
random,2,18,0.166199,7460,176080,0
random,2,19,0.174538,7346,172227,0
random,2,20,0.182793,7229,169936,0
random,2,21,0.191048,7063,165851,0
random,2,22,0.199217,7004,164400,0
random,2,23,0.207302,6889,162410,0
random,2,24,0.215301,6715,158466,0
random,2,25,0.223215,6526,154521,0
random,2,26,0.231044,6338,151580,0
random,2,27,0.238788,6225,150195,0
random,2,28,0.246447,6087,145558,0
random,2,29,0.254021,5994,143360,0
random,2,30,0.26151,5898,140668,0
random,2,31,0.268913,5790,138552,0
random,2,32,0.276232,5719,136452,0
random,2,33,0.28355,5633,135408,0
random,2,34,0.290784,5531,132570,0
random,2,35,0.297932,5376,130296,0
random,2,36,0.304995,5255,127776,0
random,2,37,0.311973,5117,123543,0
random,2,38,0.318866,4932,120142,0
random,2,39,0.32576,4829,117304,0
random,2,40,0.332567,4737,114855,0
random,2,41,0.33929,4665,112176,0
random,2,42,0.345928,4587,109312,1
random,2,43,0.352481,4530,107406,0
random,2,44,0.359033,4430,105076,0
random,2,45,0.365501,4363,103200,0
random,2,46,0.371883,4199,100110,0
random,2,47,0.378181,4060,97208,0
random,2,48,0.384478,3973,95264,0
random,2,49,0.39069,3924,94164,0
random,2,50,0.396817,3868,92025,1
random,2,51,0.402859,3769,90132,0
random,2,52,0.408901,3680,88842,0
random,2,53,0.414858,3601,86982,0
random,2,54,0.42073,3549,85674,0
random,2,55,0.426602,3485,84672,0
random,2,56,0.432389,3374,83070,0
random,2,57,0.43809,3134,80640,1
random,2,58,0.443792,2998,78246,0
random,2,59,0.449409,2952,76632,0
random,2,60,0.45494,2891,75480,0
random,2,61,0.460471,2794,73968,1
random,2,62,0.465918,2741,72864,0
random,2,63,0.471279,2673,71540,0
random,2,64,0.47664,2638,70952,0
random,2,65,0.481916,2586,69646,2
random,2,66,0.487107,2535,67614,0
random,2,67,0.492299,2507,67232,0
random,2,68,0.497404,2361,64889,0
random,2,69,0.50251,2324,63480,2
random,3,0,0,10647,237405,
random,3,1,0.0100417,10481,233235,0
random,3,2,0.0199983,10282,228150,0
random,3,3,0.0298698,10088,224162,0
random,3,4,0.0395711,9836,219520,0
random,3,5,0.0491873,9687,218834,0
random,3,6,0.0587184,9584,215802,0
random,3,7,0.0681644,9334,209614,0
random,3,8,0.0775253,9117,205461,0
random,3,9,0.0868011,9005,202520,0
random,3,10,0.0959918,8824,200255,0
random,3,11,0.105097,8653,196800,0
random,3,12,0.114118,8402,192456,0
random,3,13,0.123053,8258,189069,0
random,3,14,0.131904,8126,186666,0
random,3,15,0.140669,7998,185128,0
random,3,16,0.149264,7891,183015,0
random,3,17,0.157774,7720,177940,0
random,3,18,0.166199,7570,174683,0
random,3,19,0.174538,7415,171152,0
random,3,20,0.182793,7292,168818,0
random,3,21,0.191048,7138,165429,0
random,3,22,0.199217,6925,160923,0
random,3,23,0.207302,6766,157536,0
random,3,24,0.215301,6601,153928,0
random,3,25,0.223215,6416,147896,0
random,3,26,0.231044,6287,144100,0
random,3,27,0.238788,6205,142206,0
random,3,28,0.246447,6086,140107,0
random,3,29,0.254021,5982,136704,0
random,3,30,0.26151,5747,133078,0
random,3,31,0.268913,5539,129759,1
random,3,32,0.276232,5459,127452,0
random,3,33,0.28355,5383,125673,0
random,3,34,0.290784,5301,122145,1
random,3,35,0.297932,5218,119669,0
random,3,36,0.304995,5099,117000,0
random,3,37,0.311973,4945,113238,0
random,3,38,0.318866,4877,109896,0
random,3,39,0.32576,4712,107814,0
random,3,40,0.332567,4653,106650,1
random,3,41,0.33929,4544,105066,0
random,3,42,0.345928,4447,102544,0
random,3,43,0.352481,4147,98988,0
random,3,44,0.359033,4096,97425,0
random,3,45,0.365501,3896,95472,0
random,3,46,0.371883,3813,91800,0
random,3,47,0.378181,3735,90308,0
random,3,48,0.384478,3676,89034,0
random,3,49,0.39069,3619,87756,0
random,3,50,0.396817,3540,85260,0
random,3,51,0.402859,3448,82800,0
random,3,52,0.408901,3338,79992,0
random,3,53,0.414858,3294,78792,0
random,3,54,0.42073,3210,76436,1
random,3,55,0.426602,3161,73919,0
random,3,56,0.432389,3048,71816,1
random,3,57,0.43809,2973,70494,0
random,3,58,0.443792,2907,69745,0
