null_index,seed,strategy,trials,auc_flow,auc_reachability,intact_flow,intact_pairs
51,20360966,random,30,0.575468,0.586003,12331,236740
51,20360966,out_strength,1,0.204191,0.358539,12331,236740
51,20360966,in_strength,1,0.598968,0.646731,12331,236740
51,20360966,betweenness,1,0.350946,0.508541,12331,236740
51,20360966,pagerank,1,0.584355,0.635982,12331,236740
51,20360966,sm_betweenness,1,0.356058,0.363204,12331,236740
52,20360967,random,30,0.575038,0.58647,12356,236740
52,20360967,out_strength,1,0.201349,0.355863,12356,236740
52,20360967,in_strength,1,0.595531,0.645633,12356,236740
52,20360967,betweenness,1,0.349658,0.51043,12356,236740
52,20360967,pagerank,1,0.59148,0.63799,12356,236740
52,20360967,sm_betweenness,1,0.363187,0.38089,12356,236740
53,20360968,random,30,0.575799,0.586088,12358,236740
53,20360968,out_strength,1,0.201058,0.359014,12358,236740
53,20360968,in_strength,1,0.608385,0.663598,12358,236740
53,20360968,betweenness,1,0.343083,0.50615,12358,236740
53,20360968,pagerank,1,0.588198,0.636518,12358,236740
53,20360968,sm_betweenness,1,0.35849,0.377177,12358,236740
54,20360969,random,30,0.575086,0.585613,12347,237405
54,20360969,out_strength,1,0.20166,0.356133,12347,237405
54,20360969,in_strength,1,0.587482,0.63743,12347,237405
54,20360969,betweenness,1,0.344964,0.498857,12347,237405
54,20360969,pagerank,1,0.602608,0.65586,12347,237405
54,20360969,sm_betweenness,1,0.334554,0.35244,12347,237405
55,20360970,random,30,0.575296,0.585903,12386,237405
55,20360970,out_strength,1,0.201666,0.360989,12386,237405
55,20360970,in_strength,1,0.566983,0.599093,12386,237405
55,20360970,betweenness,1,0.344691,0.502808,12386,237405
55,20360970,pagerank,1,0.591808,0.650672,12386,237405
55,20360970,sm_betweenness,1,0.365144,0.376217,12386,237405
56,20360971,random,30,0.575225,0.585936,12356,237405
56,20360971,out_strength,1,0.201875,0.359938,12356,237405
56,20360971,in_strength,1,0.583379,0.625448,12356,237405
56,20360971,betweenness,1,0.344104,0.501067,12356,237405
56,20360971,pagerank,1,0.580459,0.625493,12356,237405
56,20360971,sm_betweenness,1,0.344844,0.363224,12356,237405
57,20360972,random,30,0.575203,0.585394,12352,237405
57,20360972,out_strength,1,0.202872,0.359889,12352,237405
57,20360972,in_strength,1,0.578948,0.620551,12352,237405
57,20360972,betweenness,1,0.350055,0.497985,12352,237405
57,20360972,pagerank,1,0.603476,0.648673,12352,237405
